Name,type,ratings,latitude,longitude,place_id
# COORD REPETIDA
Mahe Salta SRL,,0,-24.7900353,-65.406212,ChIJJWw3waLDG5QRDaOajWuDutc
Uma Nails Salta,beauty_salon,0,-24.7900353,-65.406212,ChIJoxYNq7DDG5QR9ETgam5uzr8
Monday Kiosco y Café,,11,-24.7900353,-65.406212,ChIJS_omPRXDG5QRqkf4vKaZCfU
Departamento Lindo,lodging,0,-24.7900353,-65.406212,ChIJJWw3waLDG5QRk9XvrpTF3yo
LOS ARCANGLES SA,,0,-24.7900353,-65.406212,ChIJ2Zvk1sfDG5QR19SVpfdsFYU
Departamento San Francisco,lodging,0,-24.7900353,-65.406212,ChIJJWw3waLDG5QRJ0rwXE1kMGA
Ameitan,,0,-24.790343,-65.405721,ChIJoaaLIDvDG5QR5Ahx1ca-5Vs
Booth Consulting,,0,-24.790343,-65.405721,ChIJO5q4Q6jDG5QR2DHUDGHiHhg
STUDIO Coworking & Offices,,29,-24.790343,-65.405721,ChIJx2O2ic7DG5QRHzvGALo-WNc
Escribanía Ru,,2,-24.790343,-65.405721,ChIJk-ijxKLDG5QRC39sakbWj6o
Digio SRL,,0,-24.790343,-65.405721,ChIJQ2GSi6LDG5QRiA__tr26fVY
I.D.E.A.S,,0,-24.8062301,-65.4196212,ChIJ2fwf4zPDG5QRjYQh_qVexxM
AUSTRAL INGENIERÍA EN CLIMATIZACIÓN,,0,-24.8062301,-65.4196212,ChIJ3Xw0ZGHDG5QRLOVHEbB2YsY
Maria Martinez CENTRO DE ESTETICA,doctor,0,-24.7868858,-65.417193,ChIJy7hhOKjDG5QRVGuy9o5eB6o
Licenciados En Psicología,,0,-24.7868858,-65.417193,ChIJz3TUnrDDG5QRbentYuqsHkc
M.I.A. Medicina Integral Antienvejecimiento,doctor+hospital,0,-24.7868858,-65.417193,ChIJCViOr8bDG5QREacF_UeAJGU
Consultorios Belgrano 1067,,51,-24.7868858,-65.417193,ChIJz3TUnrDDG5QRXTshCVrE_HU
Estudio Contable GGL,accounting,1,-24.7816501,-65.4052358,ChIJ-d_WRiPDG5QRO_hkWBI0HVg
Arquitectura y Construcción M-GA,,0,-24.7816501,-65.4052358,ChIJQwbkUX3DG5QRYZ0ujs8031g
Estudio Jurídico Dra. Georgina Martinez,lawyer,1,-24.7816501,-65.4052358,ChIJ2aDJPL7DG5QRe8HHgi3_Q84
batalla de vecinos,,0,-24.7865851,-65.4146744,ChIJY9J7fADDG5QRUqwcusD8LHY
Puquy Wines Store,liquor_store,0,-24.7865851,-65.4146744,ChIJQcp03mDDG5QRxrdJEztQLwU
Puquy The Andean Wine Route,liquor_store,0,-24.7865851,-65.4146744,ChIJl4OtTozDG5QRWoa7wPkvTxQ
al estilo kindig,cafe,0,-24.7867955,-65.4148043,ChIJTVS5fQDDG5QREcLkOvLo2nY
Hunters Seguridad Privada,,9,-24.7867955,-65.4148043,ChIJX6zkQLrDG5QRu0uDgmRyCnE
