Name,type,ratings,latitude,longitude,place_id
La Cerrillana,lodging,0,-24.7482033,-65.3994369,ChIJjZZ-EFzBG5QRKmYC-Iw36Yc
Isicana,,0,-24.7486427,-65.399891,ChIJxaUzH1zBG5QRoGJE2qAnnOs
Bodymax Equipamientos para Gimnasios,,4,-24.7484104,-65.3998558,ChIJIcYPO3DBG5QR2auLbWAg0mg
PANIFICADORA MOSCONI,bakery,1,-24.748825,-65.399371,ChIJAz8BHgDBG5QRm1w4k08URCQ
Tonomar,,0,-24.7484873,-65.4004771,ChIJv5URL03BG5QRDL-BPotwkLU
Tia Celia,,0,-24.748262,-65.4003335,ChIJxQUFXADBG5QRrLvox1xHOpU
Armec Mecanica Integral,car_repair,9,-24.7483722,-65.4006005,ChIJ4y_bOlzBG5QRxDxzKr2Lyuk
ESPUMITA artículos de limpieza,home_goods_store,1,-24.7493066,-65.3993244,ChIJDV27X_bBG5QRPjG9yFxmNuo
Herreria Salta 193,,0,-24.7483766,-65.4006208,ChIJB9i925bBG5QREVRjHP_lyGI
Maxikiosco Apolo,book_store,12,-24.749051,-65.4007173,ChIJeedRy13BG5QRk904nyg1IY8
Herramientas Watson,,1,-24.7478173,-65.3998958,ChIJycsXIPLFG5QRYla3Q_vde2M
Aprendo con Nana,,0,-24.7753867,-65.3936844,ChIJx2vFQOnDG5QRtv6RZed1U_s
AprendoconNana,,0,-24.7753867,-65.3936844,ChIJS7LQPADDG5QRIhU5KenyXvY
FC Fabian Col,beauty_salon,0,-24.7835096,-65.4088996,ChIJfZSrmL7DG5QRziPNEp00q-g
MÓDULO Diseño Integral,,2,-24.7837533,-65.4086966,ChIJt7U3nr7DG5QRzgbZpGKFCP8
Fundación Espacios,,37,-24.7831728,-65.408896,ChIJJWwEqdfDG5QRn_WV93drv34
B roberto romero,lodging,2,-24.7830681,-65.4088211,ChIJ2XQzK7DDG5QRZiF_SAdP41M
Grupo Andina Inmobiliaria de Andres Oscar Ontiveros y asociados,real_estate_agency,0,-24.7836129,-65.4089317,ChIJuV70AMjDG5QRoXcDlNXIrSA
Estudio Jurídico Dr. Néstor Holver Martínez,lawyer,3,-24.783686,-65.4088668,ChIJ4ZTQob7DG5QR6VFeVoMMCio
Centro Empresa De Limpieza,,2,-24.7836687,-65.4089482,ChIJ4ZTQob7DG5QR0kAXSiZMb38
Puebla,clothing_store,163,-24.7837575,-65.4086411,ChIJ-bB6agXDG5QRFLq10XPBcac
Drugstore Telecentro,book_store,3,-24.783728,-65.4089709,ChIJYSUyoL7DG5QRUSaCyYQfJds
TRAMUNTANA Viajes y Turismo,travel_agency,0,-24.783753,-65.4085934,ChIJcfgU_q7DG5QRbfPYtpbosiM
Taller “Ibarra Motorcycles”,shopping_mall,43,-24.8010378,-65.4433617,ChIJM_M-flnCG5QR-I0pcU_BT8M
Mabeluchi empanadas,restaurant,1,-24.8006879,-65.4423817,ChIJi-ENYwDDG5QRFt9MBH8haMg
Control 4B,,21,-24.8011758,-65.4435173,ChIJR800fFnCG5QRaY0qbRm_19k
Monje Ortega - Ex Punta de Linea 4B,bus_station+transit_station,0,-24.8012392,-65.44364,ChIJkdn5fFnCG5QRaC3aNRy-amA
Enfermera profesional primavera,,0,-24.8009864,-65.4438376,ChIJIWKW0w_DG5QRDHmv7SnsM24
SALÓN MANOLO - Ritmos Latinos; Tanguería; Peña Folclórica; Salsera,,179,-24.7922862,-65.4208606,ChIJNw8eFa7DG5QRPa98ZB6glbM
Incognitiva,,0,-24.7923503,-65.4210959,ChIJVVU5F67DG5QRIYubZUgub-M
HULK GYM 2,gym,2,-24.7921088,-65.4211873,ChIJ5WBkOgDDG5QRxqmX9YD0Dgg
Casa victoria,restaurant,10,-24.7924576,-65.4210743,ChIJBxlAUtLDG5QRBQcM3liMwpQ
Lo de Lilina,lodging,0,-24.7923929,-65.4210389,ChIJJd_afwnDG5QRAG8wo9RM2D4
Bco Soluciones de Negocios,,0,-24.7921951,-65.421699,ChIJFZKTJwDDG5QR4L4Qur9SEwA
La Pescaderia,,2,-24.7927072,-65.4213395,ChIJYwWGv8jDG5QRr-nhT9La6L4
Ran,,0,-24.7923911,-65.4208754,ChIJe0E0Fq7DG5QR2r5Gyc3NK4I
Mundo Fiat - Chevrolet Salta,car_repair,126,-24.7926982,-65.4211402,ChIJo1AB-lTDG5QRn1l9nj-V9gg
"Libreria y regaleria ""ALIS""",book_store,0,-24.792477,-65.4208873,ChIJLSD9ffvDG5QRRoKypPOUtGs
Amoblamientos y aberturas zya,furniture_store+home_goods_store,1,-24.792742,-65.421263,ChIJEdPctnrDG5QRoBHWXdeaaRg
Corona,clothing_store,0,-24.7927422,-65.4212598,ChIJl9CfE67DG5QRL65glMsSmyA
Pan Semillas Seeds,,6,-24.7924099,-65.420855,ChIJd4dvbbLDG5QR36r7ncHM40I
Ford Repuestos,car_repair,33,-24.7927548,-65.4213197,ChIJo2qpE67DG5QRGOSsM_VYxUQ
Taller Flores,car_repair,2,-24.7920662,-65.4217639,ChIJVQY1RsnDG5QRvz9mZyLQBAk
Nort Plast,shopping_mall,9,-24.7927167,-65.4215833,ChIJl9cgXkjDG5QRzuJletK4Bnw
Polleria Deby,grocery_or_supermarket,0,-24.7925799,-65.4209023,ChIJoc_dFa7DG5QRsDl9vdrg8BU
Villa Vicuña Salta Hotel Boutique,clothing_store+lodging,348,-24.7900008,-65.4064763,ChIJN_eEw6LDG5QRhg_elRv45SQ
El Charrúa Restaurante y Parrillada,restaurant,6319,-24.790239,-65.4059709,ChIJERF2v6LDG5QRH5xMweQ8dbM
FOX Car Rental / Alquiler de Autos,car_rental,643,-24.790239,-65.406211,ChIJRZS-waLDG5QRdujQwfmvEEk
ESTUDIO FOTO-Escuela de Fotografía,school,3,-24.78991,-65.405644,ChIJA5uzvqLDG5QR74_lP4jBCYo
ECIN Soluciones,,12,-24.7902355,-65.405665,ChIJz3GllaLDG5QRGgU6-hmNjt8
Hotel Caseros Salta,bar+lodging,117,-24.7899312,-65.4060882,ChIJz-YzCvzDG5QRxhJYt31CXSA
Departamento Caseros Desings,lodging,63,-24.7900353,-65.406212,ChIJV6E8WMXDG5QR2a_Bg0JaPmw
Casa MAC y MCG,lodging,2,-24.7900658,-65.4062232,ChIJ_dT72tXDG5QRAYUHVnHDCrI
Super Market Salta - Almacén con onda,supermarket+liquor_store,257,-24.7901887,-65.4061308,ChIJG0gteqbDG5QR9wn7lw9Nj-Y
Óptica Pascal,,9,-24.7900824,-65.4058503,ChIJ88L0NzPDG5QRya-YYWjjvwU
AMI Asociación Médica Integral,,0,-24.7900824,-65.4058503,ChIJD5gMv6LDG5QRAQfrIc5W35w
Mónica Bubenas Bienes Raíces,real_estate_agency,1,-24.7900533,-65.4063149,ChIJH_KhxKLDG5QR4l2LTR9Oyow
Kurmi Artesanías,,2,-24.7902527,-65.4058685,ChIJZ5EZpv_DG5QRTGuAR6tQ3RA
Street Rent a Car,car_rental,2,-24.7902634,-65.4058795,ChIJm-wnUyrDG5QRRdjtKkwxtJs
Dr Rodriguez Miguel Angel,doctor,4,-24.7900143,-65.4056939,ChIJO5JavqLDG5QRDTZMRLP7itY
Remises Union 22 Srl,,114,-24.790035,-65.405686,ChIJSXbyvqLDG5QRxq76iDVFdFM
La Posada Restaurant,restaurant+meal_delivery,1974,-24.790197,-65.406432,ChIJI2K0w6LDG5QRBNn50qWpn2k
Buneco S.r.l.,,0,-24.7900008,-65.4064763,ChIJTTZ7xKLDG5QR6ndHJZul8HI
Hanna,,7,-24.790187,-65.406448,ChIJefnMCCrDG5QRzYMb4sgqeak
Artesanías cerámica salta. Poncho salteño,,0,-24.790187,-65.406448,ChIJZ_CPIGPDG5QRqCsW3VQWX-U
Ava Cor,,0,-24.7898482,-65.405677,ChIJG_U4uaLDG5QRMGopYHUrJ9A
Gra-Mar Grabados y Arte Funerario,,0,-24.7898482,-65.405677,ChIJQz6LYLrDG5QRdxARoY8x060
Seguros Sura - Agencia Salta,insurance_agency,27,-24.7902689,-65.4056836,ChIJD5yLlaLDG5QRzwqZUwebVaY
ACR Seguridad Electrónica - Salta,electronics_store,53,-24.7898566,-65.4056262,ChIJA9Kic7zDG5QRx68hkd6d9wE
Defensoría Tribunal Oral Criminal Federal Salta,courthouse,1,-24.789794,-65.405654,ChIJqZNruaLDG5QRXaCuiXMMkTs
Doctored,doctor,0,-24.790377,-65.4057255,ChIJEXbQlaLDG5QRrrAPZLBY0eU
Pollería Baruc,,0,-24.7574146,-65.4031049,ChIJo0M-Z-DDG5QRtCNsCfqWdHs
Nort-bebidas,,0,-24.7576598,-65.4029508,ChIJXx1EUXPDG5QRh1dG2Pak5bE
Drugstore LOS ÑAÑOS,drugstore,1,-24.7575712,-65.4029398,ChIJt_udSX_DG5QRALO2Ykgu13g
Label Sublimaciones Salta,,0,-24.7573998,-65.4039045,ChIJMXqzwMrDG5QRmQAxRunRr2U
Ferretti Servicios Inmobiliarios,,0,-24.7576031,-65.4026324,ChIJA1XRXuDDG5QRGL1EGVoiy7Y
Casa de ro,,0,-24.7584179,-65.4038529,ChIJw7PUZQDDG5QRqzfYSjIN2OQ
Ombu Comida vegetariana,,0,-24.7584187,-65.4038564,ChIJf0PoP2vDG5QR1bs2ObnpnIA
Juramente y Ruiz Diaz de Guzman,bus_station+transit_station,0,-24.7569105,-65.4039408,ChIJ1wbJc-DDG5QRfV2EmqJp9Ko
Biodigestores Salta,,1,-24.7745393,-65.3988748,ChIJp-CAkaLDG5QRsbwqZf2UL8E
Consorcio Posto 20,,62,-24.7745354,-65.3988119,ChIJs5Xve-vDG5QRerb1sa-ommE
Centro Gestáltico Salta,,0,-24.774888,-65.3987707,ChIJEw7c2VPDG5QRxXO5angPJ5g
Dr. Hernan Musaime (Cirugía Plástica; Estética y Repradora),doctor,0,-24.7745393,-65.3988748,ChIJK-HZ6RrDG5QRPIKJrNV1Wf0
Dr. Arredes Nestor,doctor,1,-24.7745337,-65.3988114,ChIJy6M9ONjDG5QRO4lqlQDYa0o
Med Lab Salta,doctor,13,-24.7743712,-65.3988809,ChIJs5Xve-vDG5QR78a8-KlIOy8
Servicio Técnico de PC - PC Soft,,0,-24.7751755,-65.3990743,ChIJ4THUS8vDG5QRL3xNQW71noU
ADELAIDA,clothing_store,4,-24.772914,-65.3901073,ChIJowJ6e_HDG5QRdxJRwBjrbZ4
Casa Agu,,0,-24.7729329,-65.3901863,ChIJMcymox7DG5QRsjbC9DbQDUI
Buldurini Sergio Ariel,,2,-24.7915333,-65.4343524,ChIJ3ZZydk7CG5QRhQBATK63hG0
Open 25,,1,-24.7918455,-65.4340759,ChIJo6lO28PDG5QRy1zgC3zLKAk
Papa Panchio,bar+restaurant,349,-24.8061965,-65.4196671,ChIJ-eCs9gbDG5QRbUv6v0-Kf_o
Oficinas Cenoa,car_dealer,51,-24.8063602,-65.4202478,ChIJ3TQi86fDG5QRxplUd45PolI
Contreras,,0,-24.8068374,-65.4198102,ChIJxbLYRADDG5QRP_6ex43cH7E
IM Motors,car_repair,12,-24.8068791,-65.4191711,ChIJYWcjYgbDG5QRams0DxmaAt4
Plaza del Agricultor José Juan López Amat,park,68,-24.806765,-65.420051,ChIJ2U99jQbDG5QRStZ8977QA7A
Despensa Mary,,4,-24.8067023,-65.4191927,ChIJiYSzYQbDG5QR0CqxATlsQDE
Salta Cerveza,liquor_store,3,-24.8066702,-65.4191941,ChIJS-m8YQbDG5QRVbXsa_FHsO0
Plazoleta Cacique Juan Calchaqui,park,78,-24.8065018,-65.419713,ChIJrUZc8wbDG5QRIxSuTwBK83U
TITI LAVADERO,car_wash,0,-24.8064891,-65.4192544,ChIJP2lecTXDG5QRPetr2eiRtvI
Av. Paraguay - Pasando Av. Belgica,bus_station+transit_station,0,-24.8067663,-65.4203122,ChIJs_AVkwbDG5QRanUFeEPvZls
Gomeria angel,car_repair,1,-24.8064025,-65.4193872,ChIJM7qEcgDDG5QR7Hrc1vglu44
Lavadero RÁPIDO Y ESPUMOSO,car_wash,3,-24.806379,-65.4194724,ChIJYQF8WyPDG5QRu23MVWR-0n0
Distribuidora San Cayetano,,4,-24.806787,-65.4187788,ChIJedq0GEfDG5QRsuT9h4vTMoA
Internet Computación,electronics_store,14,-24.8062301,-65.4196212,ChIJhy4u9AbDG5QRDDWdlIGB0zE
Volkswagen Autoahorro Tu Plan,car_dealer,5,-24.8065398,-65.4203816,ChIJPeSF7AbDG5QR5dEAATLsfxc
VEGY Tienda Natural,convenience_store+storage,0,-24.8063384,-65.4190503,ChIJkz2dU03DG5QRge3BMPQC0mg
Los Reyes pizzas y empanadas,meal_delivery,0,-24.765913,-65.3975294,ChIJV1hStn7DG5QRigRNU6PbCaE
Los Lapachos y Los Abedules,bus_station+transit_station,0,-24.7733129,-65.3942438,ChIJ6yN5C-3DG5QReR5aMXhmx5c
OK Computer,electronics_store,4,-24.7730726,-65.3941037,ChIJtYKbeWDDG5QRx-V2Y256-kI
Tap Luis Baez,park,0,-24.7592183,-65.396113,ChIJH5KoOADDG5QR4evt5w4_ZzE
Electricista domiciliario e industrial,electrician,0,-24.7594871,-65.395765,ChIJuRcdbADDG5QRpmp4x03wwcg
Fundación Yenlhí,,2,-24.7591271,-65.3967256,ChIJ59CtVurDG5QR7Lx06pt7qH8
Zapatillas Luxor,shoe_store,25,-24.7594992,-65.3969707,ChIJnaajrOjDG5QRfy8EOf3jUYo
Queijo Salta (Queso),meal_delivery,0,-24.7594935,-65.3969824,ChIJ_RkcYJ_DG5QREiqmlFd4ycg
Juan Toconas,,4,-24.7592646,-65.3955218,ChIJy8UfgOPDG5QRgKh9q-EEsDM
Drugstore Maru,drugstore,1,-24.7585869,-65.3965532,ChIJw-7AlePDG5QRYIBltGandtE
Ministerio de Asuntos Indígenes y Desarrollo Comuntario,local_government_office,0,-24.7588399,-65.3955302,ChIJVx7U2b_DG5QRUXCUx8f_ocQ
Libreria Pilar,book_store,0,-24.750378,-65.4106893,ChIJAzmmKFTBG5QRTFo6EFFiIko
Servicio Centro,car_repair,2,-24.7503308,-65.4106671,ChIJNaxqA2TBG5QRS-1zoZKn4cA
Pilar Glamm Studio,,0,-24.7502172,-65.4108754,ChIJjypluYXBG5QRVi0P2FekjTk
Área de Danza,,1,-24.7506787,-65.4101257,ChIJncZ0RrjBG5QRcdHuGHC_4jg
Polleria Pio,restaurant,10,-24.7509488,-65.4103271,ChIJq7MWVWHBG5QRx3N7ESCWIt8
Laesquina Despensa,,0,-24.7509188,-65.4102317,ChIJD6XnVGHBG5QRDDIwXHptNBw
Pachamama SanGucheriA,meal_delivery,1,-24.749879,-65.4103562,ChIJ7bKmDjPBG5QR9alW0SzRr00
Sol-Car,,0,-24.7506539,-65.411343,ChIJvbIrCWTBG5QRDdr9VOROR1k
Delicias Nicol,bakery,13,-24.7510397,-65.4099214,ChIJ_YPm0pvDG5QRvN_dCeV9EHU
Av. Bolivia y Superi,bus_station+transit_station,1,-24.7500917,-65.4115027,ChIJL69jEWTBG5QRgbZQCBPs02A
Carnicería y Panadería Moro,,1,-24.7427086,-65.4104096,ChIJzZ-1NqrBG5QRqMTfQ5rcTRE
Mono,,0,-24.7427138,-65.4103451,ChIJKVXE1GjBG5QRKJrpnTEw48M
Almacen Pereyra Rozas,,8,-24.742642,-65.4107302,ChIJ3RIz4DTBG5QR2ZNy8TFJkis
Bo. Pereyra Rozas-4,transit_station,0,-24.742946,-65.4097309,ChIJA7No0GjBG5QR7GqAUnbuYuA
solares del noa,,0,-24.7911648,-65.4026901,ChIJSfGGX5jDG5QRX5rB098Vrmw
SerZen,,1,-24.7910695,-65.402846,ChIJY1CF9ZjDG5QRYGrD7aWDKFM
Savicor,,7,-24.790876,-65.4028204,ChIJuf_sFLnDG5QRQue2TzBwg88
La Planchetta,,3,-24.7910239,-65.402616,ChIJxxQ4X5jDG5QRQXRpfbv46Lw
imaginARQ,,0,-24.7909867,-65.4026581,ChIJoej19ZjDG5QRXyjpqb9L5bo
Estudio Contable Impositivo Laboral Cpn. Luis Cesar Carrizo y Asociados,,0,-24.7911304,-65.4026248,ChIJu10gTUDDG5QRjMQashBWmbk
Sodería Corvalán,,4,-24.7911304,-65.4026248,ChIJRZX-2SjLG5QR0cJEa9FmY3M
Mensajeria Su Moto,,9,-24.790999,-65.4027167,ChIJzbWjX6LDG5QR6zkUFIpzMNI
Estudio Jurídico RL,,3,-24.7911885,-65.4026298,ChIJYatFV9zDG5QRBg2gYiJSYK8
