type,count
restaurant,1325
clothing_store,1125
car_repair,1023
convenience_store,980
lodging,908
hair_care,678
school,525
bakery,502
doctor,384
beauty_salon,325
home_goods_store,320
gym,314
park,304
church,269
bar,261
drugstore,246
store,239
service,237
lawyer,233
pharmacy,217
real_estate_agency,216
meal_delivery,214
book_store,208
cafe,203
dentist,194
travel_agency,190
hardware_store,179
shopping_mall,165
insurance_agency,162
car_wash,155
hospital,150
local_government_office,149
supermarket,149
liquor_store,143
furniture_store,136
electronics_store,135
veterinary_care,133
shoe_store,130
accounting,116
car_dealer,87
storage,80
corporate_office,79
night_club,74
physiotherapist,73
gas_station,70
meal_takeaway,66
laundry,63
bank,58
jewelry_store,56
secondary_school,55
university,52
police,49
medical_center,48
nursery_school,47
spa,47
moving_company,44
atm,42
pet_store,35
locksmith,31
library,29
primary_school,27
bicycle_store,26
association_or_organization,26
law_firm,21
construction_company,20
florist,18
sports_club,17
sports_complex,14
art_gallery,11
post_office,11
cultural_center,10
museum,10
medical_clinic,10
campground,10
courthouse,9
stadium,9
fire_station,8
sports_school,8
metal_workshop,7
club,7
funeral_home,6
movie_theater,6
casino,5
psychologist,5
taxi_stand,5
social_services_organization,4
nursing_home,4
medical_lab,4
cemetery,4
medical_group,3
airport,3
telecommunications_service_provider,3
rv_park,2
childrens_party_service,2
movie_rental,1
city_hall,1
internet_service_provider,1
shipping_company,1
