# Google_Maps_type,Google_Place_type
accounting,accounting
art_gallery,art_gallery
art_center,art_gallery
airport,airport
association_or_organization,association_or_organization
non_profit_organization,association_or_organization
non_governmental_organization,association_or_organization
political_party,association_or_organization
atm,atm
bakery,bakery
wholesale_bakery,bakery
bank,bank
bar,bar
beauty_salon,beauty_salon
beautician,beauty_salon
tanning_studio,beauty_salon
stylist,beauty_salon
makeup_artist,beauty_salon
bicycle_store,bicycle_store
bicycle_repair_shop,bicycle_store
book_store,book_store
office_supply_store,book_store
stationery_store,book_store
pen_store,book_store
copy_shop,book_store
commercial_printer,book_store
paper_store,book_store
bus,bus
bus_station,bus_station
cafe,cafe
cafeteria,cafe
campground,campground
car_dealer,car_dealer
truck_dealer,car_dealer
motor_vehicle_dealer,car_dealer
motorcycle_dealer,car_dealer
car_repair,car_repair
auto_repair_shop,car_repair
car_service,car_repair
vehicle_inspection,car_repair
car_wash,car_wash
car_detailing_service,car_wash
casino,casino
race_course,casino
cemetery,cemetery
church,church
cathedral,church
place_of_worship,church
religious_institution,church
clothing_store,clothing_store
childrens_clothing_store,clothing_store
club,club
athletic_club,club
construction_company,construction_company
contractor,construction_company
building_firm,construction_company
housing_development,construction_company
home_builder,construction_company
housing_cooperative,construction_company
convenience_store,convenience_store
grocery_or_supermarket,convenience_store
butcher_shop,convenience_store
poultry_store,convenience_store
fish_store,convenience_store
fruit_and_vegetable_store,convenience_store
health_food_store,convenience_store
grocery_store,convenience_store
market,convenience_store
farm,convenience_store
farmers_market,convenience_store
fresh_food_market,convenience_store
cold_cut_store,convenience_store
corporate_office,corporate_office
radio_broadcaster,corporate_office
software_company,corporate_office
web_hosting_service,corporate_office
manufacturer,corporate_office
media_company,corporate_office
news_service,corporate_office
newspaper_publisher,corporate_office
television_station,corporate_office
engineering_consultant,corporate_office
electric_utility_company,corporate_office
agricultural_service,corporate_office
agrochemicals_supplier,corporate_office
fertilizer_supplier,corporate_office
power_plant,corporate_office
military_base,corporate_office
coworking_space,corporate_office
packaging_company,corporate_office
industrial_equipment_supplier,corporate_office
construction_equipment_supplier,corporate_office
electronics_company,corporate_office
machining_manufacturer,corporate_office
metal_construction_company,corporate_office
food_producer,corporate_office
brewery,corporate_office
