Name,type,ratings,latitude,longitude,place_id
Fit.Ice,ice_cream_shop,2,-24.7653621,-65.4017813,ChIJlaHyqrDDG5QRgGuvDYHVTlA
La polleria,poultry_store,3,-24.8019097,-65.44489,ChIJ2RztW5bDG5QRUtTs5ujEPGc
El tiburón y el pulpo,painting,5,-24.8004108,-65.3994676,ChIJS_ScARnDG5QRWgJ0Qs8yiuE
R&S Tools,e_commerce_service,3,-24.8003866,-65.3992969,ChIJ1YJ_EC3DG5QRZsy8eAiNGVM
Residencia Para Adultos Mayores,retirement_home,1,-24.8002601,-65.3997567,ChIJe59u6nXDG5QRu6LSQvM_9eg
El tiburón y el pulpo,painting,5,-24.8004108,-65.3994676,ChIJS_ScARnDG5QRWgJ0Qs8yiuE
R&S Tools,e_commerce_service,3,-24.8003866,-65.3992969,ChIJ1YJ_EC3DG5QRZsy8eAiNGVM
Residencia Para Adultos Mayores,retirement_home,1,-24.8002601,-65.3997567,ChIJe59u6nXDG5QRu6LSQvM_9eg
Orden Sufi Halveti Yerrahi - Salta (Argentina),religious_organization,5,-24.8009809,-65.399001,ChIJifLifXrDG5QRaQdkPBbI-iw
Consultorio odontologico integral,dental_clinic,3,-24.8010235,-65.3988038,ChIJscmzXgDDG5QR8p38GYm3XsQ
Loteria de Salta,lottery_retailer,1,-24.8010257,-65.3987803,ChIJ8-LCFL7DG5QR_WqT38siwzg
Taller de bicicletas. José ‍ ️ ‍ ️,bicycle_repair_shop,7,-24.787427,-65.4237993,ChIJheqmpxfBG5QRz18sgxS_s4A
Imagen Clara SRL,medical_diagnostic_imaging_center,13,-24.7918056,-65.4162261,ChIJb7NtX6XDG5QRbpBlgzEgzrA
ObraSocialNS/NC,labor_union,1,-24.7913609,-65.4155959,ChIJi9hKRaXDG5QRCm1SmXOSnps
Sap del Niño Jesus,medical_clinic,12,-24.79176,-65.4158499,ChIJY2d0XqXDG5QRCLjykchJkZY
Dra Cruz Varela Maria Esther,health_consultant,1,-24.7918081,-65.4158544,ChIJ08ZoaQDDG5QRrbAYr7wWfG4
iPhone club,mobile_phone_repair_shop,39,-24.791294,-65.4001786,ChIJHS8p2nfDG5QR4IzZ9b7pLKs
ASOCIACIÓN SALTEÑA DE ORTOPEDIA Y TRAUMATOLOGÍA,corporate_office,1,-24.7924376,-65.4027706,ChIJQXeR6pjDG5QRF1qY4HFXlcQ
Tiempo de Mate,Confectionery store***,6,-24.7929345,-65.4028629,ChIJj6xmOwXDG5QRs1bEGg-cWR0
LIBRERIA y REGALERIA VIRGEN de URKUPIÑA,gift_shop,3,-24.8130256,-65.4109778,ChIJHyw9PcvDG5QRGyK7N-SOahE
Carniceria Canito,butcher_shop,1,-24.8129214,-65.4098851,ChIJk9xxDK_DG5QRC-BYdY1IIro
Polleria La esquina,poultry_store,1,-24.8141122,-65.4103904,ChIJVaDFnqHDG5QRT5Gz0rKaCEc
"GOMERIA ""Mauro""",store,24,-24.8125313,-65.4106195,ChIJa4zZ-RHDG5QRql6K3xo5B_A
Dolce Nico,beauty_product_supplier,1,-24.8134884,-65.4094621,ChIJAx5tOxLDG5QRQjgg3qREaKQ
Almacén Doña Rosa,kiosk,11,-24.8306224,-65.4087648,ChIJrW-rDDnDG5QRopso6fX7bh4
Vidrios R-26,glass_shop,37,-24.8305309,-65.4089128,ChIJyf-UOxfDG5QRuO6r-tCAt3I
VARIGAS CENTRAL,mailing_service,5,-24.8313082,-65.4091643,ChIJDx9KhJDDG5QRy6ML13LvaMI
Salta tubex,hose_supplier,2,-24.8301702,-65.4092673,ChIJu7VwlMLDG5QRdfRn13vy9QQ
Rapipago,money_transfer_service,51,-24.8314856,-65.409459,ChIJIyQc5bvDG5QRMJR9LwRrOSQ
Servicio técnico 387TECNO,mobile_phone_repair_shop,2,-24.8297145,-65.4084991,ChIJSUAp_qTDG5QRvTYq-AdpDXI
Servicio Tecnico De Pc,store,1,-24.8307677,-65.407327,ChIJu_OqKf7DG5QRKt0pJpYu8Ns
Remises Del Bosque,transportation_service,23,-24.8303868,-65.4073719,ChIJhxWplMLDG5QRNoq1Mzts1xc
LIBRERIA y REGALERIA VIRGEN de URKUPIÑA,gift_shop,3,-24.8130256,-65.4109778,ChIJHyw9PcvDG5QRGyK7N-SOahE
Carniceria Canito,butcher_shop,1,-24.8129214,-65.4098851,ChIJk9xxDK_DG5QRC-BYdY1IIro
Polleria La esquina,poultry_store,1,-24.8141122,-65.4103904,ChIJVaDFnqHDG5QRT5Gz0rKaCEc
"GOMERIA ""Mauro""",store,24,-24.8125313,-65.4106195,ChIJa4zZ-RHDG5QRql6K3xo5B_A
Dolce Nico,beauty_product_supplier,1,-24.8134884,-65.4094621,ChIJAx5tOxLDG5QRQjgg3qREaKQ
Almacén Doña Rosa,kiosk,11,-24.8306224,-65.4087648,ChIJrW-rDDnDG5QRopso6fX7bh4
Vidrios R-26,glass_shop,37,-24.8305309,-65.4089128,ChIJyf-UOxfDG5QRuO6r-tCAt3I
VARIGAS CENTRAL,mailing_service,5,-24.8313082,-65.4091643,ChIJDx9KhJDDG5QRy6ML13LvaMI
Salta tubex,hose_supplier,2,-24.8301702,-65.4092673,ChIJu7VwlMLDG5QRdfRn13vy9QQ
Rapipago,money_transfer_service,51,-24.8314856,-65.409459,ChIJIyQc5bvDG5QRMJR9LwRrOSQ
Servicio técnico 387TECNO,mobile_phone_repair_shop,2,-24.8297145,-65.4084991,ChIJSUAp_qTDG5QRvTYq-AdpDXI
Servicio Tecnico De Pc,store,1,-24.8307677,-65.407327,ChIJu_OqKf7DG5QRKt0pJpYu8Ns
Remises Del Bosque,transportation_service,23,-24.8303868,-65.4073719,ChIJhxWplMLDG5QRNoq1Mzts1xc
OASIS BIKE,store,1,-24.8303456,-65.4071792,ChIJ6wshAQDDG5QRZI8aecHAmHg
Corralón San José,building_materials_supplier,9,-24.8315235,-65.410207,ChIJfw0qd7TDG5QRD48CZdYMutg
CASAS NORTE,home_builder,1,-24.8292667,-65.4089652,ChIJma4m9HvDG5QRfseil1a4cfI
Corralon Parada,tool_store,2,-24.8325971,-65.4093334,ChIJDd3HfgbDG5QRd9lr5Rsu4l4
Francis Estampados,store,5,-24.8309325,-65.406603,ChIJqXv6gDXDG5QR-_NtyPwm1JE
Odontologia Ruta 26. Urgencias,dental_clinic,3,-24.8326768,-65.4092986,ChIJ7W7uZADDG5QRckUXXIJVyJY
Tradeloc Cedica,freight_forwarding_service,6,-24.8300686,-65.4106594,ChIJbcpA3jvDG5QR7iuyLDZPxIY
Kiosko 24hs,kiosk,20,-24.8327754,-65.4093022,ChIJXTfc6znDG5QRYHSYsXia8qw
Remises Tres Cerritos,transportation_service,238,-24.7627292,-65.3968644,ChIJ2VunKinDG5QRGfXe_Pzi4-4
la clinica del tv,store,10,-24.8396953,-65.3908577,ChIJeT5Q8lLDG5QR-zlcakoB1as
Autoservicio JJ,store,2,-24.8390691,-65.3910442,ChIJX9drrMbDG5QRb7szobkJVWc
Carlos Madera,wood_frame_supplier,1,-24.839796,-65.3917251,ChIJcelrFyzDG5QRnBojgGJjJ10
Loteria de Salta,lottery_retailer,2,-24.8394993,-65.392055,ChIJN9k9ejDDG5QRGHXFgrU6fZE
Taekwon-Do,martial_arts_school,3,-24.8383539,-65.3900017,ChIJZ5sDYwDDG5QRqONe22GJTb0
Centro Misionero Guadalupe,religious_destination,2,-24.8394654,-65.3887606,ChIJ68KNlq7DG5QR8HZw2xUgcL4
Los4hermanos,wholesale_grocer,1,-24.8396272,-65.3886924,ChIJPzZjy9fDG5QR9g6ps86qrqQ
Pollería doña Lore,poultry_store,3,-24.8391666,-65.3926544,ChIJScymIqjDG5QRcSK5WlyUmCg
Minimercadito Anita,store,13,-24.8414883,-65.38963,ChIJ1w4KXY_DG5QRsSCqS_TRk2A
Medigraf,copy_shop,4,-24.8414516,-65.3892195,ChIJOYItcNzDG5QRA0aXXx1VQzs
Almacen Los 3 Hermanos,store,3,-24.8375382,-65.3913805,ChIJPWlV3PjDG5QR8DxhPZywUow
Distrito Gamer,video_game_rental_service,2,-24.800356,-65.4394267,ChIJ0-tneefDG5QRy5kc6i8E27Q
Cancha Primavera,soccer_field,14,-24.8013704,-65.4391682,ChIJK-WfQ1fCG5QRGAFBnCHmUzU
Cancha Los Angeles,soccer_field,1,-24.8010589,-65.4384713,ChIJU8U86nnDG5QR2j23H03gHdo
CENTRO DE RESIDENTES VALLISTOS Y PUNEÑOS,cultural_center,31,-24.8010427,-65.4399538,ChIJT_LLUs3DG5QRcT5B2eqkPq8
Estudio ArtEsencia,art_school,5,-24.7999988,-65.4395287,ChIJ8ySPKFDDG5QR0JrGJ8Vkd-Q
Mercadito La Filial,market,3,-24.800081,-65.43982,ChIJfTUJSXHDG5QRNuT1QryFVYI
Sindicato de Trabajadores de Industrias Químicas de Salta,labor_union,1,-24.7784598,-65.4209444,ChIJJ1xtl8nDG5QRa07INM3n4nw
Estadio Dr. Luis Güemes,athletic_club,88,-24.7791245,-65.421211,ChIJ3RPy88nDG5QRf8M2dnSUFOw
Maricé Pastelería,dessert_shop,2,-24.7790617,-65.4203911,ChIJuxce5IbBG5QRrwAq7DUvP0k
Helé complementos,leather_goods_store,14,-24.779989,-65.421094,ChIJu0_cpY3DG5QRO99yagIJ5U8
La Manzanita,copy_shop,116,-24.7888844,-65.4261173,ChIJ7UW9CLPDG5QRnpjLiOij6wU
Lourdes S.A. Multimarca 0KM y Usados,motor_vehicle_dealer,248,-24.7889066,-65.4257217,ChIJhcwCcrvDG5QRXKdbBIsUIrk
Anima,psychotherapist,5,-24.7892262,-65.4261492,ChIJIZQ7OxLDG5QRZudsUtSHJHQ
Eventos Magnum,party_planner,2,-24.7892428,-65.4261696,ChIJ5_iVG7PDG5QRhzGFzb8NEsI
Terra Village,apartment_complex,36,-24.7426583,-65.3994586,ChIJdar6x_rBG5QRlDSK0Ahu158
Librería - Mercería Mixtura,pen_store,26,-24.7450006,-65.3980159,ChIJWy18zVXBG5QRzfs7C1uoZoQ
La Isla,playground,3,-24.744934,-65.3964843,ChIJYULZlHbBG5QRYXrf0yP8BFE
Desunor srl - Arquitectura & Construcción,construction_company,4,-24.7774919,-65.4051374,ChIJjd1_vL3DG5QRO-9-c0gs_Tk
Carnicería Coni,butcher_shop,3,-24.7734665,-65.4299585,ChIJpS04JjPCG5QRgg3gjAP-9uQ
Yending Salta,shipping_service,5,-24.7736066,-65.4301653,ChIJYQECXQDDG5QRgt0IfbUtoHA
