"Name","type","ratings","latitude","longitude","place_id"
"Contreras Hermanos S.A.","",0,-24.7654685,-65.4014718,"ChIJz8XGCQDDG5QRwX7HOssK96s"
"Costuras en general Leticia","",0,-24.7656879,-65.4015991,"ChIJJdwDAsvDG5QR21LKl13mTNQ"
"Salta Aventura","",1,-24.7652818,-65.4020223,"ChIJSd4xzufDG5QRfRoFqTBYVkU"
"Despensa ""La Victoria""","",0,-24.8016722,-65.4440535,"ChIJ_wa7ZVnCG5QRhgXQmQIPGFI"
"Grupo Manuso S.r.l.","",2,-24.8008375,-65.4442562,"ChIJQYq83lvCG5QRJRQD_hfYVpk"
"Obra Social Ferroviaria","",1,-24.7773277,-65.4121139,"ChIJKYYWasfDG5QR9TwDkja0014"
"Pierrejous","",0,-24.8011502,-65.3996619,"ChIJF0bGEi_DG5QRCY62bWie4Fk"
"M&R servicios salta","",0,-24.8003959,-65.3998603,"ChIJGfswwHXDG5QRa6jEJ-4arAk"
"DE PRIMERA","",0,-24.80033,-65.399587,"ChIJJ_AcRLfDG5QRk_O2zXNeFMI"
"Panda's lessons","",0,-24.8009844,-65.398799,"ChIJX-r94j3DG5QRWuBMR8Sm3T4"
"Alfredo Jesús José","",0,-24.800178,-65.4003304,"ChIJe7Yi-KXDG5QR-X95AYuUG28"
"Torres de la Victoria","",0,-24.7874434,-65.4237662,"ChIJ2y2m7LPDG5QRy3PTuh5JHbc"
"Espacio Whānau","",0,-24.7873801,-65.4244386,"ChIJtfcE62bDG5QRSuEWXb2wEn4"
"CRHEAR Consultorios de Rehabilitación y Habilitación con Espacios Recreativos","",0,-24.787753,-65.4237727,"ChIJw63VlLPDG5QRZ94wVuF3zhY"
"Lila Un Mundo Aparte","",0,-24.790949,-65.3996399,"ChIJex_-c5nDG5QRj7n3q6HqMM0"
"Coop. Manuel Belgrano","",0,-24.7927899,-65.4027584,"ChIJ9270IyrDG5QRC_qxfJ7g2sg"
"Los Reta's","",0,-24.8306398,-65.4088684,"ChIJhxywDDnDG5QRdZE9pwWTyFE"
"KIOSKO EL LOCAL","",0,-24.830732,-65.4082835,"ChIJkaKYpp7DG5QR5CXAk_bmK4Q"
"Cabañas Y Prefabricadas Somos Fabricantes","",0,-24.8320195,-65.4092134,"ChIJM8bcljnDG5QRi3d2M_I98R0"
"Grustore MYE 24 HS","",0,-24.8305935,-65.4071144,"ChIJ1cq5ewDDG5QR0OdeWgaQh74"
"Roguant SRL - Salta","",0,-24.8322954,-65.4093539,"ChIJxWeYNQDDG5QRm8XFNCs-CcU"
"Servicio tecnico de celulares UNREAL ‍ ️","",0,-24.8303415,-65.4069246,"ChIJRZsAPYfDG5QRPYPGCxxWpHM"
"Vidrios Mg","",0,-24.8326308,-65.4093439,"ChIJ-9YI6znDG5QRp-EFsDv7CII"
"Drugstore 24 Hs.","",0,-24.8327899,-65.4093101,"ChIJRYUL7DnDG5QR1CrdOFdUzBY"
"San Silvestre","",3,-24.7629413,-65.3970633,"ChIJFTavyeXDG5QRzinCfBUtuEU"
"Minimax 415","",0,-24.8406534,-65.3925864,"ChIJDTVHhLHDG5QRaQCU2qpuefM"
"Modista isabella","",0,-24.8403626,-65.3883539,"ChIJd6KsL0nDG5QR3SfQ4UdTZP0"
"Despensa Y Regaleria ""Marlene""","",2,-24.800864,-65.4387316,"ChIJO4_dR1fCG5QR9MZpbHpWHpQ"
"Cancha Barrio San José","",0,-24.8014764,-65.4387531,"ChIJ_zaLOwDDG5QR7Et4CD5Fss4"
"BCM Buchanan","",0,-24.7889214,-65.4259241,"ChIJ0Ze0uQ3DG5QRU5_HnWDknZM"
"Comunidad Betesdo","",1,-24.7891892,-65.4262452,"ChIJZZ3AG7PDG5QRzp9U7qJpKsQ"
"Transnoa - Salta Norte","",0,-24.7417798,-65.3976547,"ChIJAeUDIADBG5QRiKqeG_pj4fk"
"UAM-TEAM BIKE-PUNTO DE ENCUENTRO 🚴‍♀️","",0,-24.7433577,-65.3955266,"ChIJA-uVSwDBG5QRY9A8Mw-vhbw"
"Luxus Ingeniería y Construcciones","",0,-24.7770149,-65.4054903,"ChIJnfSd-5HDG5QRAnVvCra5V9U"
"Edificio MAXIMO II","",0,-24.776627,-65.4049316,"ChIJj-jYBU3DG5QRhiRolB7Cw0c"
"Cios - Centro Integral de Obesidad y Sobrepeso","",57,-24.7748829,-65.3969185,"ChIJkaONyovDG5QRfx2UhMrK4cg"
"Loteria de Salta","",0,-24.798049,-65.3985368,"ChIJ03s3ioLDG5QRmqmAFJOyu0U"
"Frutillas Puerta Del Sol","",0,-24.7974792,-65.3977506,"ChIJ185d5p3DG5QRJVeRcngetjE"
"Merlina","",0,-24.7980531,-65.3985749,"ChIJVVfjB57DG5QRu9q1MrCZm2k"
"Santuario Juana Figueroa","",0,-24.7976941,-65.3972649,"ChIJseVWfW7DG5QR8pzNzjx9DlU"
"Asociación MANOS","",0,-24.7975854,-65.3973311,"ChIJnYSL7J3DG5QRsLWMKr0OIDo"
"Ledeel","",0,-24.7987846,-65.3981378,"ChIJ1ZUoAnbDG5QRjJ2YAh5kfr4"
"La Tienda Animal","",0,-24.7978493,-65.3986949,"ChIJPxmpCZ7DG5QRwlHkTmXaa4I"
"ASI ESTAMOS","",0,-24.7976003,-65.3971497,"ChIJ2UlEXJfDG5QRO9wQhFVkBPc"
"La 750 Salta FM 92.7","",0,-24.7976003,-65.3971497,"ChIJqRmtZX7DG5QRT6XjIxU3hkc"
"Catering soluciones","",0,-24.7973545,-65.398438,"ChIJCYhYJM3DG5QRJenBl1tWFLw"
"Peluqueria José","",0,-24.7980449,-65.3988859,"ChIJKXmtCJ7DG5QRq36SaWr19KU"
"Sks","",0,-24.7990477,-65.3976641,"ChIJGRAaG3bDG5QR7DEyLq5i3Qc"
"Fernandez Iriarte; Liliana","",1,-24.7819388,-65.4267196,"ChIJowEBXbXDG5QRDNKRS2D4ilY"
"asociacion salteña de duatlon triatlon y pruebas combinadas","",0,-24.78245,-65.4263785,"ChIJx7jDpQHDG5QRn95IvOkzh3U"
"Kinesiar","",11,-24.7825431,-65.4268934,"ChIJOZV6QbXDG5QR8X1HWSYvcN8"
"Dialogo Vital","",0,-24.7821554,-65.4256992,"ChIJ8UF9-IzDG5QRo6Iz8xWHBGs"
"Acclimatare","",0,-24.7825955,-65.4259782,"ChIJJ2OfcrXDG5QR7tqry0MyGWU"
"Taller Mitre Herreria","",0,-24.7687189,-65.4088426,"ChIJbes8FcPDG5QRlzrThF3IICI"
"Vaneh Pasteleria","",1,-24.7695957,-65.4077286,"ChIJuW8fAcPDG5QRJF99ujvOETA"
"Polleria zuviria SOFIA","",0,-24.7692821,-65.4076877,"ChIJYUOgHnDDG5QRWKz8DQWNhLc"
"Sonko S R L En Formacion","",0,-24.7783713,-65.4131316,"ChIJtVMleMfDG5QR0lICDTJEVN8"
"Torre Necochea","",0,-24.778596,-65.4133511,"ChIJaWg6P5jDG5QREEQ_bflN1z8"
"MINIMARKET LA DEAN FUNES","",0,-24.7768318,-65.4068724,"ChIJKQujJQDDG5QRiFAbIAouV2g"
"Club De Autos Especiales","",0,-24.7767784,-65.4068637,"ChIJvYxWZsDDG5QRkibDTPuOVfg"
"Edificio Mil88","",0,-24.7766652,-65.4068522,"ChIJQczwKVrDG5QRG41uEZZ4c20"
"Credimas","",0,-24.7844262,-65.4120788,"ChIJ4b7i37vDG5QRUVQfaov0zsQ"
"Centro Policial","",0,-24.7837577,-65.4123496,"ChIJLz_cbrnDG5QRPucXQ_TR0Yk"
"Agencia De Limpieza Alfa","",0,-24.783743,-65.4115536,"ChIJX6KZXLnDG5QR5nyhDy7hKsE"
"Saltapetrol Srl","",0,-24.7839316,-65.4117442,"ChIJe-a3XbnDG5QRfhaG1ectbRA"
"LINNA","",0,-24.783949,-65.4117385,"ChIJIwd0fADDG5QRVbt10e9UtDY"
"JoyaMate","",0,-24.7834921,-65.4111254,"ChIJsW8dIi_DG5QRhKglsBPglZw"
"Casa De La Lila","",0,-24.7909403,-65.4369201,"ChIJ___j_E7CG5QRV8_9Amy5J4g"
"Somos Carnicería","",0,-24.7916389,-65.4375027,"ChIJ821qZxDDG5QRsmfH54yfDkA"
"COMERCIO ENCINA","",0,-24.7917488,-65.4376037,"ChIJkfse4xbDG5QR8HruLSiYDPI"
"AFRODITA ESTETICA","",0,-24.7900341,-65.437337,"ChIJt3e_-Z_DG5QRChTuHx5KX0k"
"Maníacos","",0,-24.7918822,-65.437204,"ChIJUfRBq0_CG5QR-rMQmYim_kU"
"Hospital Creativo","",0,-24.8577544,-65.4363931,"ChIJrVfhDh7dG5QRH0wpjLLxrTk"
"Tecnico en equipos informaticos","",0,-24.8573202,-65.436559,"ChIJR7sSJHTdG5QRzbt0v6VyOUI"
"canchita de flander","",0,-24.8571211,-65.4380512,"ChIJLfCUuOjdG5QRCZV-dYoTPgY"
"Tuareg; Geological Services","",0,-24.7853643,-65.4118647,"ChIJVVXh6bvDG5QR6O8GQpWJ2M0"
"Fundación Descubrir","",0,-24.7853643,-65.4118647,"ChIJma_G3-PDG5QR0tOz5iSn_IY"
"EPC Argentina","",0,-24.7853667,-65.4119039,"ChIJOdsyqeXDG5QRIDeijiuzTCI"
"Maria S Latorre","",7,-24.7597156,-65.4029201,"ChIJr_Jwx-DDG5QRnOfDg2QEybg"
"Dulce Sorpresa","",0,-24.759734,-65.4036005,"ChIJBwGcCZzDG5QRq5Z3lzDCAdg"
"Remises Del Cerro","",0,-24.759763,-65.4027971,"ChIJW0yFx-DDG5QRRhSYAWrMWd0"
"Albergue estudiantil","",0,-24.7590485,-65.4029573,"ChIJB2KdnFfDG5QR3YOBlWdzsR0"
"Línea Ética BDO","",0,-24.7791873,-65.4309574,"ChIJ86nw_jTCG5QRhKpY4tgdanw"
"Sgl Global","",0,-24.7840145,-65.4160109,"ChIJx8u05rnDG5QRnS_X1eAD9eg"
"Laboratorio","",0,-24.7841571,-65.4158412,"ChIJKb_t47nDG5QRbyw2nzlW3yI"
"torre San Martin 930","",0,-24.7839694,-65.4160866,"ChIJ9fWkAADDG5QRSM-jOV75k3M"
"Perotti Marcelo Roberto Escribania","",0,-24.7839336,-65.4161422,"ChIJO85K4bnDG5QRoyUi5a_N9Lg"
"Destacamento Policial","",0,-24.7846004,-65.4160452,"ChIJazFRTRNKCpYRUSNtmv0-boY"
"Klamb","",0,-24.7846039,-65.415868,"ChIJXc6i-7nDG5QRGwWTEgYocIA"
