Name,type,ratings,latitude,longitude,place_id
# TYPE NULO
# TYPE DUDOSO
Cucai Salta,hospital,2,-24.7916348,-65.3998586,ChIJe8r3Q5nDG5QRxPSi52reIzo
Programa de Orientación Escolar Equipos Interdisciplinarios,local_government_office+school,3,-24.7840646,-65.4161843,ChIJ842E4bnDG5QR1z5-p33QC5U
Consultorios Sarmiento,hospital+doctor,0,-24.7841824,-65.4158329,ChIJD3bq5LnDG5QRGeOF2o8rDOk
Enfermería Parque Bicentenario,hospital,1,-24.7300084,-65.4166577,ChIJDaPAp1jBG5QR8s3jrwAjgtA
Estación Saludable,hospital,0,-24.7310482,-65.4150556,ChIJcXXEYQDBG5QRhwgs1oTVoAo
Javier Vera Cucchiaro,hospital+doctor,14,-24.7814213,-65.4051527,ChIJI3WmJL7DG5QRc-gD3BDUPP4
Instituto Cardiovascular,secondary_school+school,7,-24.7832452,-65.4064976,ChIJzSaQdr7DG5QRdsIKTOpTl-k
Emergencia Pediátrica,hospital,13,-24.7702892,-65.4146118,ChIJ_Sgrg8XDG5QR27PQrOINXQI
Instituto de Cardiología Cenesa,hospital,3,-24.8025629,-65.4097589,ChIJBfMGJQrDG5QR1odyfPYg9-U
Centro de Fonoaudiología y Odontología,hospital,1,-24.7840219,-65.4078789,ChIJt7TSK7zDG5QRLrwcqpdlMro
Fonoaudiologa Lic. Analia Adrian,hospital,0,-24.861709,-65.4734703,ChIJ2UVcMmzdG5QRgCG9APJRvWE
Instituto Privado Domingo Savio,primary_school+school,15,-24.7894283,-65.4014297,ChIJ7bFwX7zDG5QR2x3GQf9yDS0
Psicología,university,0,-24.7787892,-65.4064459,ChIJaYedv9XDG5QRFy27AtT6POc
CENTRO UROLOGICO PUNTO DOC,hospital,0,-24.7866725,-65.4065403,ChIJdyS_XCvDG5QR7XJkQTYCShw
Senyp Srl,hospital,0,-24.7926057,-65.4052208,ChIJyUj-baLDG5QRz-3NGnZ41TI
Moebius,hospital,0,-24.7907907,-65.4276311,ChIJF_AGz7LDG5QR76_vM-WCG1E
Physio,hospital,8,-24.768496,-65.3986872,ChIJc9h-csDDG5QRKZYl1Uziw78
Colegio Parroquial San Alfonso,secondary_school+school,40,-24.7826701,-65.4143282,ChIJx_VZsbnDG5QRyFtJoKLrx2o
CEFyR Centro de Estudio Femenino y Reproducción Humana,hospital,4,-24.7868049,-65.4151028,ChIJZwQRabrDG5QRGaU1JwlLIv8
Escuela N°4642 Campaña del Desierto,primary_school+school,23,-24.7981728,-65.3775209,ChIJoRntAIHEG5QR-0y_CHEZLzg
Dr Vargas,hospital,0,-24.7762635,-65.419247,ChIJU4UWqbfDG5QRS69dnIDQsm4
Instituto de Matemáticas Alción,university,0,-24.7314058,-65.4032721,ChIJO_Gw_D7BG5QRrVkSOzR4cG8
A.M.Es.,hospital+doctor,17,-24.7819091,-65.401965,ChIJX6cVzpXDG5QRW1SBEOIWSAM
"Consultorios ""San Rafael""",hospital,4,-24.855567,-65.441047,ChIJsaRUGjLdG5QRrJZDRVFRG9k
Maestro Particular - Prof. Particular,primary_school+school,6,-24.8534535,-65.4408962,ChIJqxAj353dG5QRh-wWJmNRcNo
Escuela N°4027-Dr. Benjamin Davalos y Avilés. Ex N°62,primary_school+school,6,-24.7652791,-65.3927362,ChIJB6yC-e_DG5QRX9RS4AodHto
Centro Traumatológico del Norte,hospital,4,-24.7827862,-65.4069018,ChIJLWD_UKXDG5QR31WIylnZ5EI
Mas Medicina Ambulatoria Salta,hospital,180,-24.7924201,-65.4099559,ChIJd59sgqPDG5QRIoQhDIcTRVo
Colegio Santa Teresa de Jesus Nivel Inicial,secondary_school+school,3,-24.7857644,-65.4091439,ChIJpUocoHbDG5QRaZpgsKEtntI
Consultorios Médicos Dr. Roberto D. Nazr,hospital+doctor,3,-24.7958922,-65.4128721,ChIJPfq6g6bDG5QRSEHt-eN8VtI
Universidad Nacional de Salta,university,1053,-24.7280425,-65.4093197,ChIJk1hy_xPBG5QRvR-NGrWogSk
EDGAR UNSA,university,112,-24.7264352,-65.4091143,ChIJ-RFM3RbBG5QRQeE3tJMQ1v4
"GARITA ""A""",university,0,-24.7273257,-65.410095,ChIJ88c70ZzBG5QRXbjE9wmIVWU
Anfiteatro A,university,1,-24.7277681,-65.4097771,ChIJkSNbwhDBG5QRZ0fcw_SMyFc
Kozameh,hospital,17,-24.7844817,-65.4154858,ChIJrbde8LnDG5QRrzfKMBMqA0c
Instituto Médico Savia Salud,hospital+doctor,60,-24.7844817,-65.4154858,ChIJo4C_1LvDG5QRA7HIdpst3Ro
Fonoaudiologa,hospital,1,-24.8555143,-65.4680439,ChIJcdMTAw7dG5QR9pDIAFWq9Z0
"Instituto de Enseñanza Técnico Dental ""9 de Julio""",university,6,-24.780777,-65.41461,ChIJod-sQbjDG5QRIfSrtga3YFs
Raquis,hospital+doctor,16,-24.7843724,-65.4076563,ChIJH6WtRLnDG5QRiWTtaXLPhBU
Consultorios Divino Niño Jesús,hospital,11,-24.8587132,-65.465817,ChIJH6QCRFLdG5QRnLmVN934_gI
Construir Salud - OSPECON - CEMAP Salta,hospital,20,-24.779629,-65.4102353,ChIJn70JAbrDG5QRqp8glqbdFL0
Consultorios Privados de Ojos,hospital,11,-24.779818,-65.410186,ChIJIb1bSr_DG5QRtQyG-4QmsEY
Cemap y Sindicato Salta,hospital,0,-24.7796726,-65.4101187,ChIJXybaS7_DG5QR0bpfNTTG_h0
IES Ortega y Gasset,university,0,-24.7878786,-65.421645,ChIJVQ6UVcfDG5QRuuKMX-B0jso
Instituto Provincial de Pueblos Indígenas de Salta,secondary_school+school,0,-24.7874917,-65.4217007,ChIJeSB-XbHDG5QRXKGXmYotuoE
Puentes de Luz,physiotherapist+school,0,-24.7702259,-65.4068209,ChIJbVFGUMLDG5QRv6TusAxkIX8
ICAS,university,0,-24.7696206,-65.4061122,ChIJ69HqeJ7DG5QRJNZEXCD1wC0
Universidad Fasta-Sede Salta,university,7,-24.7678923,-65.3976074,ChIJQ72pJ-_DG5QR7iEyW8q7bjI
Ima,hospital,0,-24.7840685,-65.4247075,ChIJs7nzv9TDG5QRw69SRJAqZlk
Svante Medicina,secondary_school+school,3,-24.7768162,-65.4165072,ChIJi_sCfsjDG5QR7L8frYBvqbE
Colegio Ulises,secondary_school+school,0,-24.7892759,-65.4173196,ChIJc6k4MvTDG5QRpWZNMn5nqG8
Escuela Técnica N° 8,secondary_school+school,26,-24.8017157,-65.4034961,ChIJk77aJHXDG5QR8DMeSMGjlKY
Delfín Leguizamón y los lanceros,secondary_school+school,0,-24.8090311,-65.417063,ChIJyT4_5UvDG5QRqaloiDJD1oI
IITA Salta / Instituto de Innovación y Tecnología Aplicada,university+school,36,-24.791742,-65.409691,ChIJsx6ZeqPDG5QRv2YJeT_aqt0
Programación python,university,0,-24.7917272,-65.4096443,ChIJcR_8Xk3DG5QRos6SZQuvvys
Mater SRL,hospital,1,-24.7910343,-65.3990216,ChIJs_QKe5nDG5QR9mC-EdDFuMw
Consultorios San Lucas,hospital,8,-24.7820609,-65.4065016,ChIJjTeoQr7DG5QRUMc5iiDPETo
Consultorios Médicos,hospital,12,-24.7930338,-65.4060671,ChIJhUDFaqLDG5QRG4ffjrxHcvk
Cruz Roja Filial Salta,hospital,1,-24.7926146,-65.4064329,ChIJxTnysn3DG5QRyGeuwffMy8A
C.E.N.I.S.,hospital,7,-24.7924973,-65.4056725,ChIJ8XDfaKLDG5QRBi-6CvSjB3I
Escuela TAI,primary_school+school,13,-24.7901339,-65.4297572,ChIJfbCNCUvCG5QRSvO9zxwWNPg
777.MED,hospital,4,-24.7805987,-65.4050755,ChIJpQ3L6aDDG5QRFW28pmsMrIw
Promesa Salud Dr. Daniel Alfredo Castillo,hospital+doctor,6,-24.7853092,-65.4163066,ChIJr3V7ALrDG5QR0UlcBmfQ6t0
Medis Medicina Integral Salta,hospital+doctor,79,-24.7840935,-65.4131065,ChIJxeWfd7nDG5QR1ojUJtcNKS0
Centro Odontológico - Coseguro Integral,hospital,4,-24.7855437,-65.4169399,ChIJqbduDRrDG5QR44UrHFoCsrw
Medicina Integral Gral. Güemes,hospital,3,-24.785736,-65.417165,ChIJZ1bqsbDDG5QRBhoMFeqarVE
Neo Integral,hospital,3,-24.78572,-65.4171868,ChIJ8Q6TsbDDG5QR17qX8Oz6J44
Salon Auditorio M - UNSA,university,1,-24.7256967,-65.4083342,ChIJyVgP4xbBG5QR_JIagQ5MFqg
Anfiteatro I,university,13,-24.7251213,-65.4088823,ChIJ5zZ5zkvBG5QRbvXZl9X4P70
Automotores. Direccion General de Obras y Servicios,university,0,-24.7272416,-65.4078727,ChIJRanGjhbBG5QRin6VL-Tj59w
Instituto de Investigaciones Económicas,university,0,-24.7264293,-65.4090516,ChIJJblEQYXBG5QRCGLCfVKwYR8
Esc. Pte. Domingo F. Sarmiento N° 4017,primary_school+school,26,-24.7916676,-65.4077082,ChIJD6TFA6PDG5QRztutSx_v7LA
Enfermeria,university,0,-24.7878594,-65.4063318,ChIJhREMt83DG5QRo3oP_Jst-ak
Cruz roja anexo,secondary_school+school,1,-24.7922511,-65.4064594,ChIJ-fkTY2_DG5QRKMJD9mwoNl8
Asistir Medicina en su Hogar,hospital,1,-24.7875425,-65.4123283,ChIJqR7ttrvDG5QRokD8E-BJPDs
INNUS (Instituto de Nefrourología y Nutrición de Salta),hospital,18,-24.7985444,-65.4140141,ChIJHylU78bDG5QRRcWB7fAA3Ms
centro de flebologia Dr. Sebastián Lachs,hospital,12,-24.7799313,-65.4157386,ChIJk-U8CbzDG5QRdYwXof3YaXk
Instituto Médico ALAS,hospital+doctor,145,-24.7799351,-65.4157943,ChIJNdlrBLjDG5QRMPGrCn7x7dg
